Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,VerticalDrop,resort_size_category,CountryGrouped
Fichtelberg-Oberwiesenthal,Germany,1215,911,26.0,6,6,2,15,1,1,6,2,1,9,7384,141,304,Small,Germany
Bellwald,Switzerland,1600,1204,45.0,9,21,6,36,1,0,3,2,1,6,4620,26,396,Medium,Switzerland
Klewenalp-​Stockhütte-Beckenried-​Emmetten,Switzerland,1200,436,45.0,15,25,0,40,0,0,9,3,2,14,13394,0,764,Medium,Switzerland
Schöneck-Skiwelt-,Germany,760,620,20.0,1,1,0,3,1,1,5,1,0,6,4324,16,140,Small,Germany
Indoor ski area SnowWorld Landgraaf,Netherlands,210,150,42.0,0,0,0,1,1,1,10,9,0,19,5231,4,60,Small,Other
Štrbské Pleso,Slovakia,1840,1376,35.0,2,5,0,8,1,0,5,3,0,8,7700,52,464,Small,Slovakia
Gaissau-Hintersee,Austria,1567,750,35.0,23,10,0,34,1,0,6,3,0,9,10110,0,817,Medium,Austria
Kellerjoch-Schwaz,Austria,857,545,29.0,5,2,2,10,0,0,4,2,0,6,3786,5,312,Small,Austria
Hochrindl-Sirnitz,Austria,1886,1540,32.0,5,11,3,20,1,1,11,1,0,12,7350,30,346,Small,Austria
La Bresse-Hohneck,France,1350,872,29.0,13,7,1,21,0,1,12,6,0,18,21515,300,478,Small,France
Silbersattel-Steinach,Germany,842,590,19.0,2,1,0,4,1,0,3,1,0,4,3300,6,252,Small,Germany
Lammeralm-Langenwang,Austria,1230,980,29.0,2,3,2,8,0,0,2,6,3,11,2800,24,250,Small,Austria
Kitzbüheler Horn,Austria,2000,800,40.0,6,9,2,17,1,0,7,2,0,9,10110,55,1200,Small,Austria
Myrkdalen,Norway,1060,450,44.0,13,12,4,30,1,1,2,4,3,9,10279,32,610,Medium,Norway
Loser-Altaussee,Austria,1770,850,40.0,18,12,3,33,1,0,3,2,3,8,11114,50,920,Medium,Austria
Christlum-Achenkirch,Austria,1800,950,44.0,6,16,5,27,1,0,9,4,0,13,12843,0,850,Medium,Austria
Grasgehren-Bolgengrat,Germany,1700,1400,25.0,3,8,0,11,1,0,5,1,0,6,5140,10,300,Small,Germany
Götschen-Bischofswiesen,Germany,1307,880,25.0,2,1,4,8,0,1,2,1,0,3,4000,35,427,Small,Germany
Torrent-Leukerbad,Switzerland,2610,1411,46.0,3,26,16,47,1,0,8,1,5,14,11390,40,1199,Medium,Switzerland
Monte Popolo-Eben im Pongau,Austria,1612,862,36.0,4,2,0,6,1,0,2,2,0,4,4550,55,750,Small,Austria
Jochgrimm-Passo Oclini-,Italy,2250,1850,17.0,4,2,1,7,0,0,0,3,5,8,3540,20,400,Small,Italy
Alpe Lusia-Moena-​Bellamonte,Italy,2340,1370,47.0,12,10,4,27,1,0,3,3,4,10,16280,0,970,Medium,Italy
Unternberg-Ruhpolding-,Germany,1417,710,20.0,1,1,0,2,0,1,3,1,0,4,3350,15,707,Small,Germany
Diavolezza-​Lagalb,Switzerland,3006,2091,59.0,0,21,10,31,0,0,9,2,0,11,3970,20,915,Medium,Switzerland
Kubínska hoľa,Slovakia,1396,720,26.0,2,10,2,14,1,0,2,1,2,5,11480,60,676,Small,Slovakia
Gålå,Norway,1148,800,43.0,13,5,1,19,1,1,7,1,0,8,7600,50,348,Small,Norway
Kvitfjell,Norway,1039,185,45.0,19,10,5,34,1,1,14,2,0,16,17952,90,854,Medium,Norway
Molines-en-Queyras-​Saint-Véran,France,2800,1750,29.0,20,12,1,33,0,0,9,5,0,14,12290,0,1050,Medium,France
Tatranská Lomnica,Slovakia,2190,888,35.0,5,5,1,11,0,0,3,1,0,4,12480,216,1302,Small,Slovakia
Kanin-Sella Nevea-​Bovec,Slovenia,1103,460,35.0,4,6,0,10,0,0,3,4,4,11,11670,0,643,Small,Other
Postwiesen Skidorf-Neuastenberg,Germany,730,605,26.0,3,3,1,8,1,1,8,1,0,9,6762,23,125,Small,Germany
Oberjoch-Bad Hindelang-– Iseler,Germany,1559,1130,38.0,6,24,2,32,1,1,2,4,0,6,12388,70,429,Medium,Germany
Mönichkirchen-​Mariensee,Austria,1450,870,35.0,5,6,2,13,1,0,3,3,0,6,6741,80,580,Small,Austria
Grächen,Switzerland,2864,1619,48.0,9,31,2,42,0,0,9,5,1,15,13860,0,1245,Medium,Switzerland
Puigmal,France,2700,1830,37.0,9,15,7,32,0,0,11,2,0,13,11865,0,870,Medium,France
Kranzberg-Mittenwald,Germany,1350,980,29.0,6,7,2,15,1,1,9,1,0,10,5850,8,370,Small,Germany
Wetterstein lifts-Wettersteinbahnen-– Ehrwald,Austria,1530,1000,43.0,15,5,3,23,1,0,6,4,0,10,5425,33,530,Small,Austria
Stuhleck-Spital am Semmering,Austria,1774,777,42.0,18,6,0,24,1,1,7,2,0,9,14400,240,997,Small,Austria
Glacier 3000 / Les Diablerets,Switzerland,3016,1343,54.0,9,3,12,25,1,0,4,3,3,10,10260,0,1673,Small,Switzerland
Rossfeld - Berchtesgaden - Oberau,Germany,1554,1300,20.0,7,1,0,8,1,1,4,0,0,4,3229,0,254,Small,Germany
Les Arcs /​ Peisey-Vallandry (Paradiski),France,3226,1200,50.0,104,70,26,200,1,1,17,27,8,52,82641,793,2026,Very Large,France
Tignes - ​Val d'Isère,France,3456,1550,56.0,170,78,52,300,1,0,33,42,11,86,145461,848,1906,Very Large,France
Livigno – Carosello/​Mottolino,Italy,2798,1816,46.0,30,65,20,115,1,1,25,13,6,44,50850,0,982,Very Large,Italy
Courchevel (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120,Very Large,France
Les Gets (Les Portes du Soleil),France,2466,1000,51.0,310,210,60,580,1,1,89,74,11,174,252280,1074,1466,Very Large,France
Avoriaz (Les Portes du Soleil),France,2466,1000,51.0,310,210,60,580,1,1,89,74,11,174,252280,1074,1466,Very Large,France
Châtel (Les Portes du Soleil),France,2466,1000,51.0,310,210,60,580,1,1,89,74,11,174,252280,1074,1466,Very Large,France
Kitzbühel / Kirchberg (KitzSki),Austria,2000,800,55.0,101,61,17,179,1,1,15,28,11,54,92510,1102,1200,Very Large,Austria
Obergurgl-Hochgurgl,Austria,3082,1793,50.0,35,55,20,110,1,1,13,7,8,28,38861,320,1289,Very Large,Austria
Hafjell,Norway,1030,195,45.0,33,7,4,44,1,1,14,3,1,18,21060,150,835,Medium,Norway
Voss,Norway,960,284,43.0,25,4,11,40,1,0,7,4,0,11,11900,40,676,Medium,Norway
Kaunertal Glacier (Kaunertaler Gletscher),Austria,3108,2180,43.0,14,4,2,21,0,0,6,2,1,9,13200,0,928,Small,Austria
Geilosiden Geilo,Norway,1178,800,44.0,18,12,4,34,1,1,18,6,0,24,14225,100,378,Medium,Norway
Ski Juwel Alpbachtal Wildschönau,Austria,2025,830,46.0,25,53,13,93,1,1,32,7,8,47,52789,294,1195,Large,Austria
Reither Kogel-Reith im Alpbachtal,Austria,1280,670,46.0,1,3,0,4,0,1,4,0,1,5,4070,0,610,Small,Austria
Ellmau (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49.0,122,129,33,284,1,1,54,35,16,105,147250,1700,1337,Very Large,Austria
Westendorf (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49.0,122,129,33,284,1,1,54,35,16,105,147250,1700,1337,Very Large,Austria
Söll (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49.0,122,129,33,284,1,1,54,35,16,105,147250,1700,1337,Very Large,Austria
Kitzsteinhorn - Kaprun,Austria,3029,1978,50.0,13,25,3,41,1,0,5,5,7,17,33598,105,1051,Medium,Austria
Saint Martin de Belleville (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120,Very Large,France
La Plagne (Paradiski),France,3167,1207,50.0,139,59,27,225,1,0,56,32,12,100,136733,417,1960,Very Large,France
Schladming (4-Berge-Skischauke),Austria,2015,745,52.0,46,68,8,123,1,1,16,20,10,46,71842,600,1270,Very Large,Austria
Alpe d'Huez,France,3330,1125,51.0,70,130,50,250,1,1,27,21,20,68,92097,963,2205,Very Large,France
Formigal,Spain,2251,1501,44.0,47,70,20,137,1,0,9,11,0,20,29450,440,750,Very Large,Spain
Axamer Lizum,Austria,2340,1580,38.0,7,21,2,30,1,0,3,6,1,10,13322,0,760,Medium,Austria
Bansko,Bulgaria,2560,990,30.0,20,24,3,48,1,1,7,8,2,17,24233,380,1570,Medium,Other
Baqueira / ​Beret,Spain,2510,1471,50.0,79,52,19,150,1,0,14,19,2,35,53997,629,1039,Very Large,Spain
Hochkönig-Maria Alm/​Dienten/​Mühlbach,Austria,1900,800,52.0,52,41,19,112,1,1,21,9,5,35,49232,520,1100,Very Large,Austria
Bonneval sur Arc,France,3000,1850,28.0,13,11,1,25,0,0,8,3,0,11,8213,0,1150,Small,France
Brauneck Lenggries ​Wegscheid,Germany,1712,700,35.0,8,22,4,34,0,1,16,4,1,21,19100,0,1012,Medium,Germany
Brunni - Engelberg,Switzerland,2040,1050,38.0,2,3,2,7,0,0,3,1,1,5,2577,0,990,Small,Switzerland
Madonna di Campiglio-​Pinzolo-​Folgàrida-​Marilleva,Italy,2504,770,50.0,60,68,22,150,1,1,14,34,17,65,102340,0,1734,Very Large,Italy
Le Lys - Cauterets,France,1360,932,37.0,21,12,3,36,1,0,6,4,1,11,13038,0,428,Medium,France
Pont d'Espagne - Cauterets,France,1756,1516,35.0,3,1,0,4,0,0,2,1,1,4,4150,0,240,Small,France
Cervinia,Switzerland,3899,1562,81.0,75,220,27,322,1,0,21,22,20,63,93464,1060,2337,Very Large,Switzerland
Grands Montets-Argentière (Chamonix),France,3275,1252,62.0,6,9,14,29,1,0,1,4,4,9,15756,0,2023,Medium,France
Balme-​Les Autannes-Vallorcine-​Le Tour,France,2270,1453,51.0,13,16,0,29,1,0,8,2,2,12,14860,0,817,Medium,France
Crans-Montana,Switzerland,1510,540,60.0,55,70,15,140,1,0,12,6,5,23,29500,0,970,Very Large,Switzerland
Rinerhorn (Davos Klosters),Switzerland,2490,1454,48.0,10,22,8,40,1,0,6,0,1,7,6900,14,1036,Medium,Switzerland
Jakobshorn (Davos Klosters),Switzerland,2590,1540,58.0,25,13,2,41,1,0,5,5,3,13,15800,140,1050,Medium,Switzerland
Madrisa (Davos Klosters),Switzerland,2611,1142,52.0,6,9,9,26,1,0,7,2,1,10,6640,9,1469,Medium,Switzerland
Cortina d'Ampezzo,Italy,2924,1224,52.0,45,55,20,120,1,0,8,26,6,40,48089,130,1700,Very Large,Italy
St. Moritz - Corviglia,Switzerland,3057,1720,69.0,42,79,34,155,1,0,11,12,5,28,31220,170,1337,Very Large,Switzerland
Espace Diamant-Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,2069,1000,40.0,132,49,11,192,1,1,53,30,0,83,90852,472,1069,Very Large,France
Fonna Glacier,Norway,1460,1200,42.0,2,2,0,5,1,0,1,0,0,1,1200,0,260,Small,Norway
Galtür,Austria,2300,1600,40.0,6,25,12,43,1,1,9,2,2,13,15442,133,700,Medium,Austria
Glencoe Mountain,United Kingdom,1070,360,35.0,7,10,7,24,0,0,6,2,0,8,5800,0,710,Small,Other
Golm,Austria,2110,650,48.0,13,12,1,26,0,0,4,4,3,11,16240,123,1460,Medium,Austria
Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Andorra,2640,1710,47.0,100,77,33,210,1,1,37,28,7,72,99017,1032,930,Very Large,Andorra
El Tarter – Pas de la Casa/​Grau Roig/​Soldeu/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47.0,100,77,33,210,1,1,37,28,7,72,99017,1032,930,Very Large,Andorra
Gresse en Vercors,France,1751,1245,19.0,8,7,5,20,1,0,10,1,0,11,6808,51,506,Small,France
Wasserngrat (Gstaad),Switzerland,1900,1275,54.0,3,3,2,9,0,0,0,1,0,1,900,0,625,Small,Switzerland
Wispile (Gstaad),Switzerland,1941,1046,54.0,3,3,1,8,0,1,3,0,2,5,3601,0,895,Small,Switzerland
Heiti - Gsteig (Gstaad),Switzerland,1370,1227,54.0,0,0,0,1,0,0,1,0,0,1,600,0,143,Small,Switzerland
Arosa Lenzerheide,Switzerland,2865,1229,63.0,111,87,27,225,1,1,24,18,8,50,63936,0,1636,Very Large,Switzerland
Villars -​ Gryon / Les Diablerets,Switzerland,2120,1224,54.0,51,45,4,100,1,0,20,9,4,33,38905,0,896,Large,Switzerland
Verbier (4 Vallées),Switzerland,3330,821,66.0,107,202,103,412,1,1,39,17,19,75,85022,0,2509,Very Large,Switzerland
Nendaz (4 Vallées),Switzerland,3330,821,66.0,107,202,103,412,1,1,39,17,19,75,85022,0,2509,Very Large,Switzerland
Thyon (4 Vallées),Switzerland,3330,821,66.0,107,202,103,412,1,1,39,17,19,75,85022,0,2509,Very Large,Switzerland
Veysonnaz (4 Vallées),Switzerland,3330,821,66.0,107,202,103,412,1,1,39,17,19,75,85022,0,2509,Very Large,Switzerland
Ischgl,Austria,2872,1377,52.0,47,142,49,238,1,0,13,25,7,45,88215,1200,1495,Very Large,Austria
Kleine Scheidegg / ​Männlichen-Grindelwald / ​Wengen,Switzerland,2320,944,55.0,33,56,13,102,0,0,10,10,6,26,29250,0,1376,Very Large,Switzerland
Kranjska Gora,Slovenia,1215,800,33.0,10,8,2,20,1,1,15,5,0,20,17774,0,415,Small,Other
Kuühtai,Austria,2520,1938,37.0,6,26,8,41,1,1,6,5,1,12,17254,80,582,Medium,Austria
La Grave - La Meije,France,3534,1470,49.0,3,0,0,3,0,0,1,0,2,3,1460,0,2064,Small,France
Espace San Bernardo – La Rosière/​La Thuile,France,2641,1176,43.0,55,83,22,160,1,0,21,18,1,40,53669,0,1465,Very Large,France
La Thuile / La Rosière - Espace San Bernardo,Italy,2641,1176,43.0,55,83,22,160,1,0,21,18,1,40,53669,0,1465,Very Large,Italy
La Tania-Val Thorens/​Les Menuires/​Méribel (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120,Very Large,France
The Lecht,United Kingdom,775,637,33.0,5,9,4,18,1,1,12,1,0,13,9750,0,138,Small,Other
Les Deux alpes,France,3560,1280,49.0,110,56,34,200,1,1,26,21,7,54,72334,224,2280,Very Large,France
Les Contamines-​Hauteluce,France,2437,1164,39.0,40,60,20,120,0,1,12,8,4,24,33972,0,1273,Very Large,France
Les Orres,France,2720,1550,35.0,30,60,10,100,1,0,11,9,0,20,21020,190,1170,Large,France
Courmayeur / Chécrouit -​ Val Veny,Italy,2755,1205,46.0,16,21,4,41,1,0,4,8,6,18,24497,280,1550,Medium,Italy
Zermatt - Matterhorn,Switzerland,3899,1562,81.0,75,220,27,322,1,0,21,22,20,63,93464,1060,2337,Very Large,Switzerland
Mayrhofen-Penken/​Ahorn/​Rastkogel/​Eggalm,Austria,2500,630,52.0,40,66,30,136,1,0,31,17,9,57,82432,286,1870,Very Large,Austria
Nevis Range,United Kingdom,655,91,36.0,7,10,3,20,0,0,8,3,1,12,10350,0,564,Small,Other
Obertauern,Austria,2313,1630,46.0,61,35,4,100,1,1,11,18,2,31,50797,280,683,Large,Austria
Levi,Finland,531,206,43.0,15,19,2,37,1,1,25,2,2,29,30110,267,325,Medium,Other
Ruka,Finland,492,291,43.0,9,7,2,18,1,1,17,5,0,22,22915,70,201,Small,Other
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria,2096,830,53.0,140,112,18,270,1,1,21,22,28,71,135104,927,1266,Very Large,Austria
Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),Austria,2096,830,53.0,140,112,18,270,1,1,21,22,28,71,135104,927,1266,Very Large,Austria
Saas-Fee,Switzerland,3573,1800,63.0,20,60,20,100,1,0,14,2,9,25,25160,102,1773,Large,Switzerland
Sainte-Foy-Tarentaise,France,2620,1550,31.0,10,25,6,41,0,0,2,4,0,6,7100,10,1070,Medium,France
Val Senales Glacier,Italy,3212,2011,44.0,8,7,11,27,1,0,6,6,2,14,15838,0,1201,Medium,Italy
Serfaus-Fiss-Ladis,Austria,2820,1200,49.0,47,123,28,198,1,1,40,16,12,68,78460,1250,1620,Very Large,Austria
Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2800,1200,49.0,138,80,32,250,1,1,33,21,7,61,72066,575,1600,Very Large,France
Sestriere ski resort (Via Lattea),Italy,2749,1372,48.0,96,220,84,400,0,1,29,35,7,71,96433,0,1377,Very Large,Italy
Silvretta Montafon,Austria,2430,700,53.0,60,45,8,113,1,0,25,18,10,53,67472,330,1730,Very Large,Austria
Wagrain (Ski amedé),Austria,1980,740,52.0,30,81,4,115,1,0,22,16,11,49,75398,600,1240,Very Large,Austria
Flachau (Ski amedé),Austria,1980,740,52.0,30,81,4,115,1,0,22,16,11,49,75398,600,1240,Very Large,Austria
Valchiavenna – Madesimo/​Campodolcino,Italy,1550,1082,39.0,13,28,5,48,1,1,1,9,3,13,26060,0,468,Medium,Italy
St. Anton (Ski Arlberg),Austria,2811,1270,53.0,130,123,51,304,1,0,53,45,15,113,145127,747,1541,Very Large,Austria
Lech (Ski Arlberg),Austria,2811,1270,53.0,130,123,51,304,1,0,53,45,15,113,145127,747,1541,Very Large,Austria
Zürs (Ski Arlberg),Austria,2811,1270,53.0,130,123,51,304,1,0,53,45,15,113,145127,747,1541,Very Large,Austria
St. Christoph (Ski Arlberg),Austria,2811,1270,53.0,130,123,51,304,1,0,53,45,15,113,145127,747,1541,Very Large,Austria
Sierra Nevada-Pradollano,Spain,3282,2100,47.0,50,49,7,107,1,1,5,14,2,21,59205,350,1182,Very Large,Spain
St. Johann in Tirol,Austria,1604,659,44.0,16,23,3,43,0,1,12,4,4,20,21100,260,945,Medium,Austria
Bad Gastein,Austria,2300,860,52.0,30,52,2,86,1,0,10,9,7,26,32699,800,1440,Large,Austria
Kronplatz (Plan de Corones),Italy,2275,973,54.0,52,42,25,119,1,1,6,5,21,32,71205,450,1302,Very Large,Italy
Gargellen,Austria,2300,1423,47.0,20,5,2,28,1,0,5,3,1,9,10650,83,877,Medium,Austria
Hochschwarzeck,Germany,1385,1030,22.0,4,0,0,4,0,0,3,1,0,4,2880,0,355,Small,Germany
Arcalís-Ordino (Vallnord),Andorra,2625,1940,37.0,13,14,3,30,1,0,10,4,1,15,14240,106,685,Medium,Andorra
Hemsedal,Norway,1450,620,46.0,29,10,4,44,1,1,15,6,0,21,22921,325,830,Medium,Norway
Sölden,Austria,3340,1350,53.0,70,44,29,144,1,1,12,16,8,36,70370,363,1990,Very Large,Austria
Stubai Glacier,Austria,3212,1697,46.0,19,15,4,38,1,0,14,7,5,26,39784,69,1515,Medium,Austria
Elfer Neustift,Austria,2080,981,29.0,0,7,0,7,0,0,3,0,1,4,2980,0,1099,Small,Austria
Val Gardena,Italy,2518,1236,54.0,52,105,18,175,1,0,29,41,14,84,121914,630,1282,Very Large,Italy
Val Thorens (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120,Very Large,France
Montgenèvre (Via Lattea),France,2749,1372,48.0,96,220,84,400,0,1,29,35,7,71,96433,0,1377,Very Large,France
Sauze d’Oulx (Via Lattea),Italy,2749,1372,48.0,96,220,84,400,0,1,29,35,7,71,96433,0,1377,Very Large,Italy
Gressoney - La-Trinite (Monterosa Ski),Italy,3275,1212,43.0,23,94,15,132,1,0,9,9,12,30,31984,655,2063,Very Large,Italy
Champoluc (Monterosa Ski),Italy,3275,1212,43.0,23,94,15,132,1,0,9,9,12,30,31984,655,2063,Very Large,Italy
Zauchensee,Austria,2188,1000,52.0,23,16,4,44,1,0,9,6,4,19,25988,113,1188,Medium,Austria
