Resort,HighestPoint,LowestPoint,VerticalDrop,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Snowparks,NightSki,Country_Andorra,Country_Austria,Country_France,Country_Germany,Country_Italy,Country_Norway,Country_Other,Country_Slovakia,Country_Spain,Country_Sweden,Country_Switzerland
Rinderberg-​Saanerslochgrat-​Horneggli-Zweisimmen-​Saanenmöser-​Schönried-​St. Stephan,-0.11549056798900781,-0.32340232261798585,0.08436789075945814,1.1229403385176975,0.469800423825088,-0.3647763690143907,-0.44935288152352915,-0.0010955194699637507,-0.3436181641274334,-0.12212922300980676,-0.006174674435846377,-0.2105764147490077,-0.37115233555521815,-0.5448454314042755,1,1,0,0,0,0,0,0,0,0,0,0,1
Graukogel-Bad Gastein,-0.12099974279229447,0.004351191693480891,-0.16646375573544817,-0.5374071620048985,-0.6234800479959528,-0.665757767663036,-0.5612729224038396,-0.6759355129676341,-0.8979260409445096,-0.5968850758366614,-0.6121160590735656,-0.7898364526632216,-0.6966528107786829,-0.5448454314042755,0,0,0,1,0,0,0,0,0,0,0,0,0
Les Portes du Mont-Blanc-Combloux-​Megève le Jaillet-​La Giettaz,-0.35789425933362107,0.08941698930103714,-0.5492142681647125,-0.6296486898117093,-0.16022561078364736,0.21712100170632354,-0.2814728202030634,-0.027387986749093766,0.14140122808750816,-0.12212922300980676,-0.4606307129141358,-0.08185196187918242,-0.1221253861605072,-0.5448454314042755,0,0,0,0,1,0,0,0,0,0,0,0,0
Le Grand Bornand,0.007088571384120478,-0.19330169098289982,0.15311434202102503,-0.4451656341980875,0.2289081164746892,-0.24438380955493258,-0.2255127997629082,-0.03615214250880377,0.2799781972917772,0.2735006543459054,-0.309145366754706,0.17559694386046817,0.03103855014200533,0.024182908063790233,1,1,0,0,1,0,0,0,0,0,0,0,0
Kaltenbach-Hochzillertal-​Hochfügen-SKi-optimal-,0.3899762202125437,-1.1940757804835616,1.4128466110843323,0.9384572829040756,-0.16022561078364736,0.036532162517136355,0.05428730243786798,-0.044916298268513774,0.5571321357003153,0.194374678874763,0.14531067172358345,0.3686836231652061,0.5305021991239596,0.43202725437781164,1,1,0,1,0,0,0,0,0,0,0,0,0
Grimentz-​Zinal,1.1089235320414534,1.2328013865555434,0.580457147160495,0.8462157550972648,-0.1972859657606318,-0.22431838297835624,0.781767568159886,-0.07120876554764378,-0.06646422571889538,-0.3595071494232341,-0.1576600205952762,-0.2105764147490077,-0.34978919802222824,-0.3103959868165746,1,0,0,0,0,0,0,0,0,0,0,0,1
Civetta-Alleghe-​Selva di Cadore-​Palafavera-​Zoldo,0.007088571384120478,-0.19330169098289982,0.15311434202102503,0.10828353264277774,-0.12316525580666292,0.09672844224686541,-0.33743284064321866,-0.07120876554764378,-0.2743296795252989,0.03612272793247812,-0.1576600205952762,-0.14621418831409508,-0.047365249027292715,-0.3006272599587537,1,1,0,0,0,0,1,0,0,0,0,0,0
Ax les Thermes,-0.9570170191910459,-0.8938435536333631,-0.6272507804075723,-0.4451656341980875,0.062136519078259254,-0.2845146627080853,0.16620734331817846,-0.07120876554764378,-0.2050411949231644,-0.2803811739520916,-0.309145366754706,-0.27493864118392036,-0.3069544806337459,-0.5448454314042755,1,0,0,0,1,0,0,0,0,0,0,0,0
Damüls Mellau,-0.06177611365696283,-0.9689016103459127,0.636197513048252,0.661732699483643,0.0065459866127826,-0.0035986906360163493,-0.6172329428439949,-0.0799729213073538,-0.2743296795252989,0.2735006543459054,-0.309145366754706,-0.08185196187918242,0.03659079705413266,-0.22736180852509721,1,0,0,1,0,0,0,0,0,0,0,0,0
Zell am See,-0.13064079869804612,-0.7937661446832969,0.41323604949722414,0.7539742272904539,-0.12316525580666292,-0.22431838297835624,0.3900474250787994,-0.09750123282677381,-0.3436181641274334,0.03612272793247812,0.5997667102018729,-0.017489735444269777,0.2805209572912267,0.5541363401005726,1,1,0,1,0,0,0,0,0,0,0,0,0
Cerler,0.7246585895122085,1.0701755970116857,0.18284253716116208,0.016042004835966853,-0.030514368364201835,-0.24438380955493258,0.11024732287802322,-0.10626538858648381,-0.2743296795252989,-0.043003247538664316,-0.6121160590735656,-0.27493864118392036,-0.3210519825590692,-0.5448454314042755,1,0,0,0,0,0,0,0,0,0,1,0,0
Three Peaks Dolomites-Helm-​Stiergarten-​Rotwand-​Kreuzbergpass,0.1448179414662871,0.13194988810481528,0.09737397613326809,0.8462157550972648,-0.3640575631570618,-0.0035986906360163493,0.33408740463864417,-0.11502954434619382,0.41855516649604624,-0.4386331248943765,0.29679601788301324,0.07905360420809919,-0.30229146076613894,0.06569999720952895,1,0,0,0,0,0,1,0,0,0,0,0,0
Puy St. Vincent,0.8017870367582218,0.8249859450840236,0.46897641538498114,-0.7218902176185201,-0.16022561078364736,-0.10392582351889812,0.05428730243786798,-0.11502954434619382,-0.690060587138106,-0.12212922300980676,-0.6121160590735656,-0.5002064337061146,-0.3972869352783175,-0.31283816853102986,1,1,0,0,1,0,0,0,0,0,0,0,0
Folgaria-​Fiorentini,-0.33723485382129603,0.3070853537674311,-0.6829911462953293,-0.1684410507776549,-0.011984190875709618,-0.14405667667205083,-0.3933928610833739,-0.12379370010590382,-0.06646422571889538,0.5900045562304752,-0.6121160590735656,0.07905360420809919,0.009263331783505956,0.13896544864318547,1,0,0,0,0,0,1,0,0,0,0,0,0
Titlis-Engelberg,1.2741987761400533,-0.19330169098289982,1.862485562578905,1.39966492193813,-0.049044545852694056,-0.26444923613150895,-0.0016727180022872532,-0.14132201162532382,-0.48219513333170244,-0.2803811739520916,0.44828136404244306,-0.24275752796646402,-0.26366430549075315,-0.10525272280233632,1,0,0,0,0,0,0,0,0,0,0,0,1
Trysil,-1.3702051294375457,-1.6569337968776177,-0.6179607194262795,0.3850081160632104,-0.06757472334118628,-0.4249726487441198,0.44600744551895466,-0.15008616738503383,1.042151527915257,-0.2012551984809492,-0.6121160590735656,0.27214028351283714,0.01537947877264622,0.47598652523800555,1,1,0,0,0,0,0,1,0,0,0,0,0
Nauders am Reschenpass-Bergkastel,1.04005884700037,0.807472398517762,0.8034186107115229,0.016042004835966853,-0.23434632073761624,-0.10392582351889812,0.05428730243786798,-0.15008616738503383,-0.2050411949231644,-0.3595071494232341,-0.4606307129141358,-0.339300867618833,-0.3865294568860708,-0.3201647136743955,1,0,0,1,0,0,0,0,0,0,0,0,0
Grossarltal-​Dorfgastein,-0.08519010657093115,-0.568591974545648,0.30732935431048597,0.7539742272904539,-0.21581614324912402,0.07666301567028906,-0.6172329428439949,-0.15885032314474384,-0.48219513333170244,-0.12212922300980676,0.14531067172358345,-0.24275752796646402,-0.12498826347457286,-0.5448454314042755,1,0,0,1,0,0,0,0,0,0,0,0,0
Katschberg,0.17236381548272042,-0.02817396621529062,0.25344700061898756,0.3850081160632104,-0.49376880557650726,0.21712100170632354,-0.11359275888259773,-0.15885032314474384,-0.3436181641274334,-0.2803811739520916,-0.309145366754706,-0.339300867618833,-0.19551915003019035,1.286790854437138,1,1,0,1,0,0,0,0,0,0,0,0,0
