Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,VerticalDrop
Les Orres,France,2720,1550,35.0,30,60,10,100,1,0,11,9,0,20,21020,190,1170
Courmayeur / Chécrouit -​ Val Veny,Italy,2755,1205,46.0,16,21,4,41,1,0,4,8,6,18,24497,280,1550
Zermatt - Matterhorn,Switzerland,3899,1562,81.0,75,220,27,322,1,0,21,22,20,63,93464,1060,2337
Mayrhofen-Penken/​Ahorn/​Rastkogel/​Eggalm,Austria,2500,630,52.0,40,66,30,136,1,0,31,17,9,57,82432,286,1870
Nevis Range,United Kingdom,655,91,36.0,7,10,3,20,0,0,8,3,1,12,10350,0,564
Obertauern,Austria,2313,1630,46.0,61,35,4,100,1,1,11,18,2,31,50797,280,683
Levi,Finland,531,206,43.0,15,19,2,37,1,1,25,2,2,29,30110,267,325
Ruka,Finland,492,291,43.0,9,7,2,18,1,1,17,5,0,22,22915,70,201
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria,2096,830,53.0,140,112,18,270,1,1,21,22,28,71,135104,927,1266
Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),Austria,2096,830,53.0,140,112,18,270,1,1,21,22,28,71,135104,927,1266
Saas-Fee,Switzerland,3573,1800,63.0,20,60,20,100,1,0,14,2,9,25,25160,102,1773
Sainte-Foy-Tarentaise,France,2620,1550,31.0,10,25,6,41,0,0,2,4,0,6,7100,10,1070
Val Senales Glacier,Italy,3212,2011,44.0,8,7,11,27,1,0,6,6,2,14,15838,0,1201
Serfaus-Fiss-Ladis,Austria,2820,1200,49.0,47,123,28,198,1,1,40,16,12,68,78460,1250,1620
Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2800,1200,49.0,138,80,32,250,1,1,33,21,7,61,72066,575,1600
Sestriere ski resort (Via Lattea),Italy,2749,1372,48.0,96,220,84,400,0,1,29,35,7,71,96433,0,1377
Silvretta Montafon,Austria,2430,700,53.0,60,45,8,113,1,0,25,18,10,53,67472,330,1730
Wagrain (Ski amedé),Austria,1980,740,52.0,30,81,4,115,1,0,22,16,11,49,75398,600,1240
Flachau (Ski amedé),Austria,1980,740,52.0,30,81,4,115,1,0,22,16,11,49,75398,600,1240
Valchiavenna – Madesimo/​Campodolcino,Italy,1550,1082,39.0,13,28,5,48,1,1,1,9,3,13,26060,0,468
St. Anton (Ski Arlberg),Austria,2811,1270,53.0,130,123,51,304,1,0,53,45,15,113,145127,747,1541
Lech (Ski Arlberg),Austria,2811,1270,53.0,130,123,51,304,1,0,53,45,15,113,145127,747,1541
Zürs (Ski Arlberg),Austria,2811,1270,53.0,130,123,51,304,1,0,53,45,15,113,145127,747,1541
St. Christoph (Ski Arlberg),Austria,2811,1270,53.0,130,123,51,304,1,0,53,45,15,113,145127,747,1541
Sierra Nevada-Pradollano,Spain,3282,2100,47.0,50,49,7,107,1,1,5,14,2,21,59205,350,1182
St. Johann in Tirol,Austria,1604,659,44.0,16,23,3,43,0,1,12,4,4,20,21100,260,945
Bad Gastein,Austria,2300,860,52.0,30,52,2,86,1,0,10,9,7,26,32699,800,1440
Kronplatz (Plan de Corones),Italy,2275,973,54.0,52,42,25,119,1,1,6,5,21,32,71205,450,1302
Gargellen,Austria,2300,1423,47.0,20,5,2,28,1,0,5,3,1,9,10650,83,877
Hochschwarzeck,Germany,1385,1030,22.0,4,0,0,4,0,0,3,1,0,4,2880,0,355
